user_id,signup_date,trial_end_date,trial_length_days,age,country,gender,device_type,acquisition_channel,city_tier,preferred_plan_before_conversion,days_active_trial,sessions_count,avg_session_minutes,features_used,support_tickets,emails_opened,webinar_attended,payment_method_on_file,referred_friend,discount_offered_pct,plan_page_views,last_activity_gap_days,satisfaction_score,monthly_income_usd,converted_to_paid_plan,selected_plan,sessions_per_active_day,total_minutes_used,activity_intensity,high_commercial_intent
USR-00001,2025-04-17,2025-05-08,21,37.0,peru,male,mobile,paid ads,tier_1,standard,12,26,8.5,11,0,4,1,1,0,0.0,0,14,7.2,1150.0,0,none,2.1666666666666665,221.0,132,0
USR-00002,2025-02-20,2025-03-06,14,30.0,México,female,mobile,organic search,tier_2,basic,8,14,10.8,4,0,6,0,0,0,10.0,1,17,6.9,2290.0,0,none,1.75,151.20000000000002,32,0
USR-00003,2025-09-28,2025-10-12,14,34.0, COLOMBIA ,male,desktop,email_campaign,tier_1,standard,9,10,13.3,9,1,4,1,1,0,0.0,0,8,8.2,2071.0,1,premium,1.1111111111111112,133.0,81,0
USR-00004,2025-05-15,2025-06-05,21,25.0,Colombia,male,mobile,organic search,tier_3,premium,11,25,12.5,12,1,7,0,0,0,10.0,5,12,8.8,3051.0,0,none,2.272727272727273,312.5,132,0
USR-00005,2025-08-31,2025-09-14,14,34.0,desconocido,male,mobile,social media,tier_3,premium,10,22,15.5,11,1,5,0,0,0,15.0,3,10,10.0,1572.0,0,none,2.2,341.0,110,0
USR-00006,2025-04-23,2025-05-07,14,32.0,Colombia,female,mobile,paid ads,tier_1,basic,3,5,21.4,8,0,8,0,1,0,10.0,1,6,6.9,1881.0,0,none,1.6666666666666667,107.0,24,0
USR-00007,2025-05-31,2025-06-14,14,37.0,Colombia,prefer_not_to_say,mobile,organic search,tier_1,standard,11,20,10.2,19,1,14,0,0,0,0.0,2,6,4.8,1432.0,0,none,1.8181818181818181,204.0,209,0
USR-00008,2025-05-08,2025-05-22,14,40.0,Chile,male,mobile,paid ads,tier_3,standard,11,21,5.8,10,2,5,0,0,1,20.0,3,5,7.0,1968.0,1,premium,1.9090909090909092,121.8,110,0
USR-00009,2025-06-10,2025-07-01,21,25.0,Colombia,female,mobile,paid ads,tier_1,premium,6,9,18.3,12,4,8,0,0,0,0.0,3,18,5.6,1215.0,0,none,1.5,164.70000000000002,72,0
USR-00010,2025-01-05,2025-01-19,14,26.0,Perú,female,mobile,partner,tier_2,basic,10,17,11.8,12,0,6,0,0,0,0.0,3,3,6.6,1306.0,0,none,1.7,200.60000000000002,120,0
